category,front,back,english
Gesundheit Artikeln,Therapie,Die Therapie,the therapy
Gesundheit Artikeln,Medikament,Das Medikament,the medicine
Gesundheit Artikeln,Zahnarzt,Der Zahnarzt,the dentist
Gesundheit Artikeln,Blutdruck,Der Blutdruck,the blood pressure
Gesundheit Artikeln,Symptom,Das Symptom,the symptom
Umwelt Artikeln,Müll,Der Müll,the garbage
Umwelt Artikeln,Recycling,Das Recycling,recycling
Umwelt Artikeln,Wald,Der Wald,the forest
Umwelt Artikeln,Luft,Die Luft,the air
Umwelt Artikeln,Plastik,Das Plastik,the plastic
Umwelt Artikeln,Wasser,Das Wasser,the water
Umwelt Artikeln,Strom,Der Strom,electricity
Umwelt Artikeln,Energie,Die Energie,energy
Umwelt Artikeln,Sonne,Die Sonne,the sun
Umwelt Artikeln,Wind,Der Wind,the wind
Umwelt Artikeln,Regen,Der Regen,the rain
Umwelt Artikeln,Treibhausgas,Das Treibhausgas,greenhouse gas
Umwelt Artikeln,Klimawandel,Der Klimawandel,climate change
Umwelt Artikeln,Erwärmung,Die Erwärmung,warming
Umwelt Artikeln,Naturschutz,Der Naturschutz,nature conservation
Umwelt Artikeln,Verschmutzung,Die Verschmutzung,pollution
Umwelt Artikeln,Abfall,Der Abfall,waste
Umwelt Artikeln,Ozean,Der Ozean,the ocean
Umwelt Artikeln,Biomüll,Der Biomüll,organic waste
Umwelt Artikeln,Solarenergie,Die Solarenergie,solar energy
Verb mit Präposition,warten auf,Ich warte auf dich.,to wait for
Verb mit Präposition,denken an,Ich denke an dich.,to think of
Verb mit Präposition,sich erinnern an,Ich erinnere mich an ihn.,to remember
Verb mit Präposition,sprechen mit,Ich spreche mit dem Lehrer.,to speak with
Verb mit Präposition,sich freuen über,Ich freue mich über das Geschenk.,to be happy about
Verb mit Präposition,sich freuen auf,Ich freue mich auf den Urlaub.,to look forward to
Verb mit Präposition,sich interessieren für,Ich interessiere mich für Musik.,to be interested in
Verb mit Präposition,bitten um,Ich bitte um Hilfe.,to ask for
Verb mit Präposition,sich bedanken für,Ich bedanke mich für die Einladung.,to thank for
Verb mit Präposition,teilnehmen an,Ich nehme an dem Kurs teil.,to participate in
Verb mit Präposition,abhängen von,Es hängt vom Wetter ab.,to depend on
Verb mit Präposition,sprechen über,Wir sprechen über Politik.,to talk about
Verb mit Präposition,lachen über,Ich lache über den Witz.,to laugh about
Verb mit Präposition,sich kümmern um,Ich kümmere mich um das Kind.,to take care of
Verb mit Präposition,sich bewerben um,Ich bewerbe mich um die Stelle.,to apply for
Verb mit Präposition,sich verlieben in,Er hat sich in sie verliebt.,to fall in love with
Verb mit Präposition,arbeiten an,Er arbeitet an einem Projekt.,to work on
Verb mit Präposition,fragen nach,Ich frage nach dem Weg.,to ask about
Verb mit Präposition,sich treffen mit,Ich treffe mich mit Freunden.,to meet with
Verb mit Präposition,diskutieren über,Wir diskutieren über das Problem.,to discuss about
Präposition Deklination,mit,mit (dativ),with
Präposition Deklination,bei,bei (dativ),at
Präposition Deklination,nach,nach (dativ),after/to
Präposition Deklination,seit,seit (dativ),since
Präposition Deklination,von,von (dativ),from/of
Präposition Deklination,zu,zu (dativ),to
Präposition Deklination,aus,aus (dativ),out of/from
Präposition Deklination,gegenüber,gegenüber (dativ),opposite
Präposition Deklination,für,für (akkusativ),for
Präposition Deklination,durch,durch (akkusativ),through
Präposition Deklination,gegen,gegen (akkusativ),against
Präposition Deklination,ohne,ohne (akkusativ),without
Präposition Deklination,um,um (akkusativ),around
Präposition Deklination,an,an (wechsel),at/on
Präposition Deklination,auf,auf (wechsel),on
Präposition Deklination,hinter,hinter (wechsel),behind
Präposition Deklination,in,in (wechsel),in
Präposition Deklination,neben,neben (wechsel),next to
Präposition Deklination,über,über (wechsel),over
Präposition Deklination,unter,unter (wechsel),under
Arbeit Artikeln,Bewerbung,Die Bewerbung,the application
Arbeit Artikeln,Lebenslauf,Der Lebenslauf,the CV
Arbeit Artikeln,Vorstellungsgespräch,Das Vorstellungsgespräch,the interview
Arbeit Artikeln,Arbeitsvertrag,Der Arbeitsvertrag,the work contract
Arbeit Artikeln,Kollege,Der Kollege,the colleague
Arbeit Artikeln,Chef,Der Chef,the boss
Arbeit Artikeln,Gehalt,Das Gehalt,the salary
Arbeit Artikeln,Berufserfahrung,Die Berufserfahrung,the work experience
Arbeit Artikeln,Stellenanzeige,Die Stellenanzeige,the job ad
Arbeit Artikeln,Vollzeit,Die Vollzeit,full time
Arbeit Artikeln,Teilzeit,Die Teilzeit,part time
Arbeit Artikeln,Kündigung,Die Kündigung,the resignation
Arbeit Artikeln,Aufgabe,Die Aufgabe,the task
Arbeit Artikeln,Fortbildung,Die Fortbildung,the further training
Arbeit Artikeln,Beförderung,Die Beförderung,the promotion
Arbeit Artikeln,Abteilung,Die Abteilung,the department
Arbeit Artikeln,Arbeitszeit,Die Arbeitszeit,the working hours
Arbeit Artikeln,Homeoffice,Das Homeoffice,home office
Arbeit Artikeln,Urlaubstag,Der Urlaubstag,the day off
Arbeit Artikeln,Probezeit,Die Probezeit,probation period
Wohnen Artikeln,Wohnung,Die Wohnung,the apartment
Wohnen Artikeln,Miete,Die Miete,the rent
Wohnen Artikeln,Vermieter,Der Vermieter,the landlord
Wohnen Artikeln,Untermiete,Die Untermiete,the sublet
Wohnen Artikeln,Kaution,Die Kaution,the deposit
Wohnen Artikeln,Hausordnung,Die Hausordnung,house rules
Wohnen Artikeln,Heizung,Die Heizung,the heating
Wohnen Artikeln,Nebenkosten,Die Nebenkosten,additional costs
Wohnen Artikeln,Stromrechnung,Die Stromrechnung,electricity bill
Wohnen Artikeln,Internetanschluss,Der Internetanschluss,internet connection
Wohnen Artikeln,WG,Die WG,shared flat
Wohnen Artikeln,Nachbar,Der Nachbar,the neighbor
Wohnen Artikeln,Wohnzimmer,Das Wohnzimmer,living room
Wohnen Artikeln,Schlafzimmer,Das Schlafzimmer,bedroom
Wohnen Artikeln,Küche,Die Küche,kitchen
Wohnen Artikeln,Badezimmer,Das Badezimmer,bathroom
Wohnen Artikeln,Möbel,Die Möbel,furniture
Wohnen Artikeln,Umzug,Der Umzug,the move
Wohnen Artikeln,Wohnungsanzeige,Die Wohnungsanzeige,apartment ad
Wohnen Artikeln,Makler,Der Makler,real estate agent
Schule & Bildung,Schule,Die Schule,the school
Schule & Bildung,Lehrer,Der Lehrer,the teacher
Schule & Bildung,Schüler,Der Schüler,the student
Schule & Bildung,Unterricht,Der Unterricht,the lesson
Schule & Bildung,Hausaufgabe,Die Hausaufgabe,homework
Schule & Bildung,Note,Die Note,the grade
Schule & Bildung,Zeugnis,Das Zeugnis,the report card
Schule & Bildung,Klasse,Die Klasse,the class
Schule & Bildung,Pause,Die Pause,break
Schule & Bildung,Prüfung,Die Prüfung,the exam
Schule & Bildung,Abschluss,Der Abschluss,graduation
Schule & Bildung,Studium,Das Studium,studies
Schule & Bildung,Universität,Die Universität,university
Schule & Bildung,Fach,Das Fach,subject
Schule & Bildung,Bildungssystem,Das Bildungssystem,education system
Schule & Bildung,Schulpflicht,Die Schulpflicht,mandatory education
Schule & Bildung,Lernen,Das Lernen,learning
Schule & Bildung,Tafel,Die Tafel,blackboard
Schule & Bildung,Stift,Der Stift,pen
Schule & Bildung,Buch,Das Buch,book
Redewendungen,ins kalte Wasser springen,Er musste ins kalte Wasser springen.,to be thrown in at the deep end
Redewendungen,alles unter einen Hut bringen,"Ich versuche, Arbeit und Familie unter einen Hut zu bringen.",to juggle everything
Redewendungen,auf Wolke sieben sein,"Seit er sie kennt, ist er auf Wolke sieben.",to be on cloud nine
Redewendungen,Schmetterlinge im Bauch haben,Sie hat Schmetterlinge im Bauch.,to have butterflies in the stomach
Redewendungen,etwas durch die Blume sagen,Er sagt es lieber durch die Blume.,to say something indirectly
Redewendungen,den Nagel auf den Kopf treffen,Du hast den Nagel auf den Kopf getroffen.,to hit the nail on the head
Redewendungen,kein Blatt vor den Mund nehmen,Sie nimmt kein Blatt vor den Mund.,to speak plainly
Redewendungen,Tomaten auf den Augen haben,Hast du Tomaten auf den Augen?,to be oblivious
Redewendungen,zwei Fliegen mit einer Klappe schlagen,So schlagen wir zwei Fliegen mit einer Klappe.,to kill two birds with one stone
Redewendungen,etwas auf die lange Bank schieben,Er schiebt alles auf die lange Bank.,to procrastinate
Konjunktiv II,wären,"Wenn ich du wäre, würde ich mehr lernen.","If I were you, I would study more."
Konjunktiv II,hätten,"Wenn ich mehr Zeit hätte, würde ich reisen.","If I had more time, I would travel."
Konjunktiv II,könnte,"Ich könnte dir helfen, wenn du willst.",I could help you if you want.
Konjunktiv II,würde,Ich würde gern ins Kino gehen.,I would like to go to the cinema.
Konjunktiv II,müsste,Ich müsste früher aufstehen.,I would have to get up earlier.
Konjunktiv II,sollte,Du solltest mehr schlafen.,You should sleep more.
Konjunktiv II,dürfte,Er dürfte das nicht machen.,He would not be allowed to do that.
Konjunktiv II,möchte,Ich möchte ein Eis.,I would like an ice cream.
Konjunktiv II,wüsste,Ich wüsste gerne mehr darüber.,I would like to know more about it.
Konjunktiv II,hätte ... machen sollen,Ich hätte das früher machen sollen.,I should have done that earlier.
Modalverben,können,Ich kann Deutsch sprechen.,I can speak German.
Modalverben,müssen,Du musst heute arbeiten.,You must work today.
Modalverben,dürfen,Wir dürfen hier nicht rauchen.,We are not allowed to smoke here.
Modalverben,sollen,Er soll seine Hausaufgaben machen.,He should do his homework.
Modalverben,wollen,Ich will ins Kino gehen.,I want to go to the cinema.
Modalverben,mögen,Sie mag Schokolade.,She likes chocolate.
Modalverben,möchten,Ich möchte ein Glas Wasser.,I would like a glass of water.
Modalverben,nicht dürfen,Man darf hier nicht parken.,One is not allowed to park here.
Modalverben,müssen + Perfekt,Ich habe arbeiten müssen.,I had to work.
Modalverben,können + Perfekt,Ich habe das nicht machen können.,I couldn’t do that.
Beratungsgespräch,Termin vereinbaren,Ich möchte einen Termin vereinbaren.,to schedule an appointment
Beratungsgespräch,Beratung,Ich brauche eine Beratung.,consultation
Beratungsgespräch,Fragen stellen,Darf ich Ihnen ein paar Fragen stellen?,to ask questions
Beratungsgespräch,Unterlagen,Haben Sie alle Unterlagen dabei?,documents
Beratungsgespräch,Vertrag,Der Vertrag ist befristet.,contract
Beratungsgespräch,Angebot,Wir machen Ihnen ein Angebot.,offer
Beratungsgespräch,Empfehlung,Unsere Empfehlung ist dieses Produkt.,recommendation
Beratungsgespräch,Ziel,Was ist Ihr Ziel?,goal
Beratungsgespräch,Bedarf,Welchen Bedarf haben Sie?,needs
Beratungsgespräch,Lösung,Wir finden eine Lösung.,solution
Behördengänge,Anmeldung,Ich muss meine Anmeldung machen.,registration
Behördengänge,Abmeldung,Die Abmeldung erfolgt schriftlich.,deregistration
Behördengänge,Personalausweis,Ich brauche einen neuen Personalausweis.,ID card
Behördengänge,Reisepass,Mein Reisepass ist abgelaufen.,passport
Behördengänge,Termin beim Amt,Ich habe einen Termin beim Amt.,appointment at the office
Behördengänge,Meldebescheinigung,Ich brauche eine Meldebescheinigung.,residence certificate
Behördengänge,Wohnsitz ummelden,Ich muss meinen Wohnsitz ummelden.,to register a new address
Behördengänge,Steuer-ID,Wo finde ich meine Steuer-ID?,tax ID
Behördengänge,Bürgeramt,Ich gehe zum Bürgeramt.,citizens' office
Behördengänge,Wartezeit,Die Wartezeit ist lang.,waiting time
